,index,college_name,NIRF_RANK,fee,salary,overall_rating,placements_rating,infrastructure_rating,faculty_rating,campus_rating,value_rating,No_of_reviews
0,0,IIT Madras - Indian Institute of Technology,1, ₹ 10.00 Lakh, ₹ 16.00 Lakh ,4.6,4.5,4.5,4.5,4.7,4.7,201
1,1,IIT Delhi - Indian Institute of Technology,2, ₹ 8.00 Lakh, ₹ 17.60 Lakh ,4.5,4.5,4.5,4.3,4.6,4.7,400
2,2,IIT Bombay - Indian Institute of Technology,3, ₹ 8.00 Lakh, ₹ 15.00 Lakh ,4.6,4.6,4.6,4.4,4.7,4.7,307
3,3,IIT Kanpur - Indian Institute of Technology,4, ₹ 8.00 Lakh, ₹ 19.15 Lakh ,4.7,4.6,4.8,4.5,4.8,4.8,220
4,4,IIT Kharagpur - Indian Institute of Technology,5, ₹ 8.00 Lakh, ₹ 15.00 Lakh ,4.5,4.5,4.5,4.3,4.7,4.6,400
5,5,IIT Roorkee - Indian Institute of Technology,6, ₹ 8.00 Lakh, ₹ 16.72 Lakh ,4.4,4.3,4.6,4.1,4.7,4.5,442
6,6,IIT Guwahati - Indian Institute of Technology,7, ₹ 8.00 Lakh, ₹ 18.70 Lakh ,4.5,4.3,4.7,4.2,4.7,4.7,228
7,7,NIT Trichy - National Institute of Technology,8, ₹ 5.00 Lakh, ₹ 10.80 Lakh ,4.4,4.4,4.3,4.1,4.5,4.5,288
8,8,IIT Hyderabad - Indian Institute of Technology,9, ₹ 8.00 Lakh, ₹ 16.25 Lakh ,4.5,4.4,4.5,4.7,4.4,4.5,65
9,9,NITK Surathkal - National Institute of Technology,10, ₹ 5.00 Lakh, ₹ 10.00 Lakh ,4.3,4.4,4.2,4.1,4.6,4.5,312
10,10,Jadavpur University,11," ₹ 9,600", ₹ 9.75 Lakh ,4.4,4.3,4.0,4.3,4.6,4.9,512
11,11,"Vellore Institute of Technology, Vellore",12, ₹ 7.80 Lakh, ₹ 6.50 Lakh ,4.2,4.2,4.6,4.0,4.2,4.0,1634
12,12,"IIT BHU, Varanasi - Indian Institute of Technology",13, ₹ 8.51 Lakh, ₹ 16.00 Lakh ,4.3,4.5,3.8,4.0,4.4,4.4,372
13,13,IIT Dhanbad (ISM) - Indian Institute of Technology (ISM),14, ₹ 4.40 Lakh, ₹ 11.00 Lakh ,4.2,4.1,4.1,3.9,4.3,4.4,365
14,14,NIT Rourkela - National Institute of Technology,15, ₹ 5.00 Lakh, ₹ 6.85 Lakh ,4.3,4.1,4.5,4.0,4.6,4.3,493
15,15,IIT Indore - Indian Institute of Technology,16, ₹ 4.00 Lakh, ₹ 14.00 Lakh ,4.2,4.0,4.3,4.1,4.3,4.2,64
16,16,"College of Engineering, Anna University",17, ₹ 2.00 Lakh, ₹ 5.00 Lakh ,4.4,4.1,4.3,4.1,4.8,4.7,139
17,17,"ICT Mumbai - Institute of Chemical Technology, Mumbai",18, ₹ 3.48 Lakh, ₹ 6.55 Lakh ,4.5,4.2,4.4,4.7,4.5,4.6,59
18,18,IIT Mandi - Indian Institute of Technology,20, ₹ 8.00 Lakh, ₹ 18.00 Lakh ,4.3,4.0,4.4,4.2,4.4,4.4,56
19,19,NIT Warangal - National Institute of Technology,21, ₹ 5.00 Lakh, ₹ 10.00 Lakh ,4.3,4.3,4.2,4.0,4.4,4.4,478
20,20,IIT Ropar - Indian Institute of Technology,22, ₹ 8.00 Lakh, ₹ 12.40 Lakh ,4.4,4.3,4.4,4.4,4.5,4.5,55
21,21,IIT Gandhinagar - Indian Institute of Technology,23, ₹ 8.00 Lakh, ₹ 9.00 Lakh ,4.3,3.7,4.7,4.3,4.6,4.4,42
22,22,"SRM Institute of Science and Technology, Chennai",24, ₹ 16.00 Lakh, ₹ 4.00 Lakh ,4.0,3.9,4.4,3.8,4.4,3.7,1670
23,23,"Amity University, Noida",25, ₹ 10.16 Lakh, ₹ 4.13 Lakh ,4.0,3.6,4.5,4.0,4.5,3.6,1533
24,24,Jamia Millia Islamia [JMI],26," ₹ 64,600", ₹ 8.40 Lakh ,4.3,3.6,4.4,4.3,4.3,4.7,553
25,25,SOA - Siksha 'O' Anusandhan University,27, ₹ 10.20 Lakh, ₹ 4.00 Lakh ,4.2,4.0,4.4,4.3,4.3,4.0,339
26,26,Thapar Institute of Engineering and Technology (Deemed to be University),28, ₹ 14.58 Lakh, ₹ 8.00 Lakh ,4.1,4.0,4.5,3.8,4.4,3.6,788
27,27,BITS Pilani - Birla Institute of Technology and Science,29, ₹ 19.94 Lakh, ₹ 13.00 Lakh ,4.4,4.4,4.5,4.2,4.7,4.2,541
28,28,IIT Jodhpur - Indian Institute of Technology,30, ₹ 8.00 Lakh, ₹ 12.00 Lakh ,4.3,4.3,4.3,4.0,4.3,4.5,44
29,29,NIT Calicut - National Institute of Technology,31, ₹ 5.00 Lakh, ₹ 9.10 Lakh ,4.1,4.0,3.8,3.9,4.3,4.3,267
30,30,VNIT Nagpur - Visvesvaraya National Institute of Technology,32, ₹ 5.00 Lakh, ₹ 8.42 Lakh ,4.1,3.8,4.1,3.9,4.4,4.0,285
31,31,IIT Patna - Indian Institute of Technology,33, ₹ 8.00 Lakh, ₹ 11.80 Lakh ,4.3,4.3,4.3,4.4,4.1,4.5,54
32,32,NIT Durgapur - National Institute of Technology,34, ₹ 5.00 Lakh, ₹ 6.80 Lakh ,4.0,3.9,3.7,3.8,4.3,4.1,454
33,33,DTU - Delhi Technological University,35, ₹ 6.06 Lakh, ₹ 11.00 Lakh ,4.3,4.4,4.2,4.0,4.5,4.3,1552
34,34,IIT Bhubaneswar - Indian Institute of Technology,36, ₹ 8.00 Lakh, ₹ 13.50 Lakh ,4.1,4.0,4.2,4.3,4.1,4.1,56
35,35,Aligarh Muslim University,37, ₹ 10.63 Lakh, ₹ 5.62 Lakh ,4.3,3.6,4.4,4.4,4.3,4.7,481
36,36,NIT Silchar - National Institute of Technology,38, ₹ 5.00 Lakh, ₹ 7.50 Lakh ,4.2,4.1,4.3,3.9,4.5,4.3,213
37,37,Kalasalingam Academy of Research and Education,39, ₹ 5.00 Lakh, ₹ 4.80 Lakh ,4.0,3.8,4.1,4.1,4.1,4.2,159
38,38,IIEST Shibpur - Indian Institute of Engineering Science and Technology,40, ₹ 5.00 Lakh, ₹ 7.20 Lakh ,4.1,3.7,3.8,4.1,4.5,4.2,268
39,39,SASTRA (Deemed to be University),41, ₹ 6.00 Lakh, ₹ 6.00 Lakh ,4.2,4.3,4.1,4.1,4.2,4.4,549
40,0,IIST - Indian Institute of Space Science and Technology,43, ₹ 2.50 Lakh, ₹ 10.64 Lakh ,4.1,3.7,4.3,4.6,3.3,4.7,32
41,1,KL (Deemed to be University),44,,,4.1,4.2,4.3,4.2,4.1,3.8,389
42,2,Chandigarh University (CU),45, ₹ 8.48 Lakh, ₹ 6.60 Lakh ,4.3,4.2,4.4,4.1,4.4,4.1,3165
43,3,MNIT Jaipur - Malaviya National Institute of Technology,46, ₹ 2.50 Lakh, ₹ 8.10 Lakh ,4.2,4.0,4.4,3.9,4.4,4.2,626
44,4,MNNIT Allahabad - Motilal Nehru National Institute of Technology,47, ₹ 6.92 Lakh, ₹ 9.00 Lakh ,4.1,4.4,3.6,3.9,4.1,4.4,531
45,5,SSN College of Engineering,48, ₹ 2.00 Lakh, ₹ 5.50 Lakh ,4.5,4.4,4.7,4.3,4.7,4.4,134
46,6,Visvesvaraya Technological University,49, ₹ 1.35 Lakh,,3.7,3.1,3.3,4.0,3.8,4.3,35
47,7,NIT Kurukshetra - National Institute of Technology,50, ₹ 1.67 Lakh, ₹ 9.00 Lakh ,4.1,4.0,4.0,3.8,4.3,4.2,458
48,8,LPU - Lovely Professional University,51, ₹ 9.60 Lakh, ₹ 6.20 Lakh ,4.3,4.0,4.6,4.1,4.5,4.1,3922
49,9,NIT Jalandhar - Dr. B. R. Ambedkar National Institute of Technology,52, ₹ 1.67 Lakh, ₹ 6.50 Lakh ,3.9,3.9,3.9,3.7,4.1,3.9,495
50,10,"Birla Institute of Technology, Mesra",53, ₹ 11.40 Lakh, ₹ 8.10 Lakh ,3.9,4.0,4.0,3.7,4.3,3.7,571
51,11,Sathyabama Institute of Science and Technology,54, ₹ 3.60 Lakh ,,3.8,3.7,3.7,3.9,3.8,3.7,566
